datetime,activity,activity_name,user_id
2009-04-02 07:12:05.002864,Cook_begin,Cook,ALL
2009-04-02 07:19:01.871579,Cook_end,Cook,ALL
2009-04-02 07:19:15.061569,R6_Eat_begin,Eat,R6
2009-04-02 07:22:34.652849,R6_Eat_end,Eat,R6
2009-04-02 07:22:57.003589,Cook_begin,Cook,ALL
2009-04-02 07:35:48.807349,Cook_end,Cook,ALL
2009-04-02 07:35:58.093929,Leave_Home_begin,Leave_Home,ALL
2009-04-02 07:38:32.282589,Leave_Home_end,Leave_Home,ALL
2009-04-02 07:39:19.972049,R6_Eat_begin,Eat,R6
2009-04-02 07:45:05.041949,R6_Eat_end,Eat,R6
2009-04-02 08:01:32.079934,Watch_TV_begin,Watch_TV,ALL
2009-04-02 08:01:50.031427,Watch_TV_end,Watch_TV,ALL
2009-04-02 08:01:52.001122,R6_Snack_begin,Snack,R6
2009-04-02 08:24:03.207149,R6_Snack_end,Snack,R6
2009-04-02 08:24:04.793479,Watch_TV_begin,Watch_TV,ALL
2009-04-02 08:37:43.322639,Watch_TV_end,Watch_TV,ALL
2009-04-02 08:37:46.497359,R6_Snack_begin,Snack,R6
2009-04-02 08:38:17.024689,R6_Snack_end,Snack,R6
2009-04-02 10:17:48.021296,Watch_TV_begin,Watch_TV,ALL
2009-04-02 10:18:21.263119,Watch_TV_end,Watch_TV,ALL
2009-04-02 10:18:22.029164,R6_Snack_begin,Snack,R6
2009-04-02 10:41:38.446429,R6_Snack_end,Snack,R6
2009-04-02 10:41:39.029233,Watch_TV_begin,Watch_TV,ALL
2009-04-02 10:44:19.182529,Watch_TV_end,Watch_TV,ALL
2009-04-02 10:44:20.060169,R6_Snack_begin,Snack,R6
2009-04-02 10:54:46.585069,R6_Snack_end,Snack,R6
2009-04-02 10:54:47.063045,Watch_TV_begin,Watch_TV,ALL
2009-04-02 10:55:14.988539,Watch_TV_end,Watch_TV,ALL
2009-04-02 11:41:59.055133,R6_Snack_begin,Snack,R6
2009-04-02 11:45:34.007959,R6_Snack_end,Snack,R6
2009-04-02 11:45:35.002419,Watch_TV_begin,Watch_TV,ALL
2009-04-02 11:45:48.939529,Watch_TV_end,Watch_TV,ALL
2009-04-02 11:45:50.065153,R6_Snack_begin,Snack,R6
2009-04-02 11:47:36.366539,R6_Snack_end,Snack,R6
2009-04-02 11:47:37.039169,Watch_TV_begin,Watch_TV,ALL
2009-04-02 11:49:28.082859,Watch_TV_end,Watch_TV,ALL
2009-04-02 11:49:30.207649,R6_Snack_begin,Snack,R6
2009-04-02 11:50:07.014961,R6_Snack_end,Snack,R6
